Country code,Country name,Series code,Series name,SCALE,Decimals,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
MMR,Myanmar,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,2762.4,2703.2,2750.7,2875.2,2991.6,2816.9,2898.9,2894.4,2931.4,3048.8,3189.8,3239,3240.8,3369.5,3628.9,3577.1,3685.3,3789.7,3898.4,3949.3,..,..
MNA,Middle East & North Africa,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1471.077245,1636.091308,1527.888599,1558.367112,1865.738751,1770.134983,1981.092933,1847.333897,1939.145606,1887.977173,1770.484701,2039.400915,2275.999993,2354.14463,2286.830805,2135.224799,2486.65086,2187.896982,2016.1652,2512.115094,..,..
MNE,Montenegro,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2971.2,2149.3,3334.5,3463.7,..,..
MNG,Mongolia,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1098.2,970.3,833.4,866.1,737.2,736.9,661.7,758.7,634.9,607.2,774.6,712.5,588.4,797.8,802.6,480.6,1098,942.5,1382.8,1551.7,..,..
MNP,Northern Mariana Islands,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MOZ,Mozambique,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,476.6,341.6,175.7,565.1,520.7,652.7,822.3,821.7,839.2,985.5,868,884,826.8,817.5,773.3,739,779.8,796.6,845.7,876.6,..,..
MRT,Mauritania,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,869.8,673.1,862.1,848.9,668,772,849.2,782,894.4,864.1,864.2,638.2,1011.7,804.7,630.9,844,665.2,708.6,768.6,875.8,..,..
MUS,Mauritius,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,4190.8,3723.7,4434.5,4242.9,3728.8,3853.3,4866.6,5043.4,5180,4902.4,8900,7203.7,7763.1,6555.5,6473.6,7539.6,7793.1,9453.7,7894.7,8306.9,..,..
MWI,Malawi,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,991.5,1140.9,481.5,1488.7,896.3,1309.1,1390.5,1054.4,1322.1,1745.3,1675.4,1175.4,1045.6,1208.9,1020.6,777.7,1444.6,2466.9,1598.6,2162.8,..,..
MYS,Malaysia,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,2740.2,2787.4,2953.1,3003,3031.8,3119.1,3199.9,3023.2,2843.2,2910.3,3039.5,3108.1,3232.1,3347.2,3314.8,3407,3389.4,3540.6,3602.1,3750.4,..,..
MYT,Mayotte,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NAM,Namibia,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,457,547,158.9,356,334.5,205.6,273.9,521.2,252.8,243.3,373.6,387.2,412.5,327.9,388.8,377.2,423.9,481.3,494.9,364.7,..,..
NCL,New Caledonia,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1865,2358.9,3003.7,2400,3036.3,3128.1,3711.1,3704.1,3649.2,3704.5,3760.7,3979.1,3649.9,3895.2,3871.1,3783.9,3685.2,3965.5,3626.1,3391,..,..
NER,Niger,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,310.2,361.6,298.3,292.5,349.1,291.3,311.2,267.9,389.1,381.4,289.6,401,411.3,441.9,347.2,436.8,450.3,436.9,488.9,379.8,..,..
NGA,Nigeria,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1147.9,1094,1163.9,1153,1132.2,1210.4,1220.3,1182.7,1201.8,1239.2,1171.4,1233.5,1255.2,1308.8,1372.8,1421.6,1507.4,1399.8,1598.4,1528,..,..
NIC,Nicaragua,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1524.4,1417.1,1688,1787.1,1725.2,1681.3,1689.3,1686.4,1706.4,1634,1687.7,1692.8,1731.9,1860.2,1798.1,1778.6,1902.2,1822.4,1811,2076.7,..,..
NIU,Niue,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NLD,Netherlands,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,6958.6,7008.4,7459.2,7998.3,7164.4,7769.2,8292.8,7176.1,7307,7469.7,7905.5,7280.4,7690.7,8324.4,8410.8,8203.8,7854.1,7157.7,8331.9,9032.1,..,..
NOR,Norway,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,4399.2,4021.2,2812.2,4003.2,3671.6,3628.9,4025.7,3879.4,4047.5,3711.5,3931.7,3718.2,3495.2,3940.6,4401.4,3992.6,3674.4,3855,4488,3105.2,..,..
NPL,Nepal,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,1920,1848.2,1725.9,1858.8,1773,1891.2,1957.8,1946.5,1960.2,2003.1,2136.3,2176.9,2170.7,2205.9,2316.4,2316.7,2278.5,2218,2361.1,2373.9,..,..
NRU,Nauru,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
NZL,New Zealand,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,5033.9,5304.7,5440.3,5414.9,5782.4,5209.4,5871.7,5874.2,6272.1,6168.5,6277.7,6485.6,6459.4,6947.5,7231.4,7477.6,7112.2,7916.4,7379.7,6923.9,..,..
OMN,Oman,AG.YLD.CREL.KG,Cereal yield (kg per hectare),0,0,2159.6,1931,2019.5,1940.8,1965.6,2675.5,2807.6,2907.6,3350.7,3423.5,3451.6,3364.1,3615.7,3459.3,3653.9,3475.2,3381.3,3503.1,3341.4,3472.9,..,..
